application_id,application_date,first_name,middle_name,last_name,contact_number,email_address,civil_status,dependents,address_city,address_province,years_of_stay,residence_type,employment_type,credit_limit,gross_monthly_income,source_of_funds,bpi_avg_monthly_deposits,bpi_avg_monthly_withdrawals,bpi_frequency_of_transactions,bpi_loans_taken,bpi_emi_payment,bpi_successful_loans,prepaid_load_frequency,postpaid_plan_history,data_usage_patterns,gcash_avg_monthly_deposits,gcash_avg_monthly_withdrawals,gcash_frequency_of_transactions,loan_purpose,loan_amount_requested_php,loan_tenor_months
APP-20250213-2824,5/28/2025,Mark,J.,Mann,9043321819,rhodespatricia@example.org,Widowed,0,Anthony Ville,Oriental Mindoro,0,Owned,Self-Employed,38118,124383.56,Business Income,,,,,,,14,Premium Plan,Medium,22764.22,4789.78,27,Home Renovation,281481.98,6
APP-20250223-6514,2/23/2025,Carolyn,A.,Baldwin,9116155940,lrobinson@example.com,Widowed,4,Katherine Ville,Agusan del Norte,3,Others,Salaried,,167586.89,Remittances,14469.4,3989.6,14,2,11394.91,0,,,,,,,Medical,637506.02,8
APP-20250320-3664,3/20/2025,Eric,S.,Rogers,9553419283,jamesmichael@example.com,Married,3,Lindsay Ville,Maguindanao,12,Living with Relatives,Self-Employed,,170141.86,Salary,10549.14,47145.49,45,1,13387.04,1,20,Basic Plan,Medium,,,,Education,268555.77,6
APP-20250129-9830,1/29/2025,Sandra,C.,Carter,9496965328,barbara10@example.net,Widowed,0,Kendra Ville,Pampanga,24,Owned,Salaried,46120,40396.58,Investments,26455.72,48553.92,0,1,49806.07,0,,,,,,,Business Expansion,297032.63,6
APP-20250720-8433,7/20/2025,Norman,S.,Flowers,9048281489,mitchellclark@example.com,Married,1,Chelsea Ville,Maguindanao,11,Rented,Salaried,,102835.08,Salary,,,,,,,,,,1737.75,26340.29,5,Business Expansion,733248.06,4
APP-20250618-9727,6/18/2025,Frank,N.,Mayo,9227824896,gabriellecameron@example.org,Married,4,Lydia Ville,Samar,24,Rented,Freelancer,,199078.38,Remittances,,,,,,,,,,7437.17,1920.78,1,Personal,556151.91,6
APP-20250303-1117,3/3/2025,Jason,S.,Walter,9103105183,jason76@example.net,Separated,5,Douglas Ville,Quezon,15,Rented,Self-Employed,,56169.48,Investments,,,,,,,3,None,High,,,,Home Renovation,426460.73,12
APP-20250622-1887,6/22/2025,Amber,J.,Patterson,9106513338,icox@example.net,Widowed,1,Christopher Ville,Ifugao,13,Rented,Freelancer,,57463.23,Salary,,,,,,,1,Premium Plan,High,29069.89,27791.01,15,Education,409381.99,12
APP-20250205-4502,2/5/2025,Ernest,E.,Carlson,9602606474,djames@example.net,Widowed,5,Tasha Ville,Ifugao,30,Others,Self-Employed,24445,51363.17,Salary,25142.52,42635.99,10,3,29208.88,0,27,None,Low,20256.38,7056.12,7,Personal,249984.27,4
APP-20250607-2343,6/7/2025,Amanda,J.,Davidson,9699854353,cartereric@example.org,Separated,3,Teresa Ville,Davao Oriental,4,Living with Relatives,Unemployed,,186513.48,Salary,25294.23,6622.83,22,2,26881.72,0,11,Basic Plan,Low,,,,Personal,705022.23,4
